"","ID","Date.Start","Time.Start","Date.End","Time.End","Date.Reported","Offense.Code","Offense.Descript","Internal.Code","Internal.Descript","Crime_Status","Offense.Level","Jurisdiction","Borough","Precinct","Premises.Direction","Premises.Descript","Park","NYCHA","X.Coord","Y.Coord","Lat","Long","LatLong"
"165156",786513750,"03/16/2015","00:00:00","04/24/2015","23:59:00","08/29/2015","109","GRAND LARCENY",432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",34,"INSIDE","RESIDENCE - APT. HOUSE","","","1,000,634","249,443",40.851331435,-73.940778896,"(40.851331435, -73.940778896)"
"212128",933456172,"03/16/2015","08:00:00","06/04/2015","08:00:00","07/28/2015","109","GRAND LARCENY",430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","RESTAURANT/DINER","","","997,557","221,028",40.773345349,-73.951957525,"(40.773345349, -73.951957525)"
"311634",301709269,"03/16/2015","09:00:00","05/16/2015","19:00:00","05/18/2015","341","PETIT LARCENY",303,"LARCENY,PETIT BY CHECK USE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",30,"INSIDE","RESIDENCE - APT. HOUSE","","","999,990","240,314",40.826276155,-73.943128158,"(40.826276155, -73.943128158)"
"314147",469051939,"03/16/2015","08:00:00","03/17/2015","15:00:00","05/16/2015","109","GRAND LARCENY",420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","RESIDENCE - APT. HOUSE","","","999,484","222,267",40.776742969,-73.944997429,"(40.776742969, -73.944997429)"
"315662",268039907,"03/16/2015","09:00:00","05/14/2015","17:00:00","05/15/2015","109","GRAND LARCENY",403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",17,"INSIDE","","","","992,288","214,530",40.755516375,-73.970988622,"(40.755516375, -73.970988622)"
"329598",407157630,"03/16/2015","12:00:00","","","05/05/2015","112","THEFT-FRAUD",739,"FRAUD,UNCLASSIFIED-FELONY","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",1,"INSIDE","RESTAURANT/DINER","","","982,508","201,324",40.719272646,-74.006285705,"(40.719272646, -74.006285705)"
"334580",747455294,"03/16/2015","19:00:00","03/17/2015","19:30:00","05/01/2015","340","FRAUDS",718,"FRAUD,UNCLASSIFIED-MISDEMEANOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",33,"INSIDE","RESIDENCE - APT. HOUSE","","","999,702","244,380",40.837436665,-73.944159423,"(40.837436665, -73.944159423)"
"338854",444633816,"03/16/2015","09:00:00","04/16/2015","15:00:00","04/28/2015","109","GRAND LARCENY",424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","RESIDENCE - APT. HOUSE","","","997,305","222,854",40.778357615,-73.952863804,"(40.778357615, -73.952863804)"
"340206",332125020,"03/16/2015","10:25:00","04/26/2015","02:44:00","04/27/2015","361","OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",34,"INSIDE","RESIDENCE - APT. HOUSE","","","1,003,363","251,411",40.856727523,-73.930908887,"(40.856727523, -73.930908887)"
"340207",891476496,"03/16/2015","00:01:00","03/16/2015","02:00:00","04/27/2015","126","MISCELLANEOUS PENAL LAW",117,"RECKLESS ENDANGERMENT 1","COMPLETED","FELONY","TRI-BORO BRDG TUNNL","MANHATTAN",25,"","BRIDGE","","","1,003,247","231,413",40.801838995,-73.931384846,"(40.801838995, -73.931384846)"
"348336",765248833,"03/16/2015","17:00:00","03/16/2015","20:00:00","04/21/2015","109","GRAND LARCENY",424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","RESIDENCE - APT. HOUSE","","","992,982","217,324",40.763184533,-73.968480029,"(40.763184533, -73.968480029)"
"349583",806767908,"03/16/2015","17:20:00","","","04/20/2015","121","CRIMINAL MISCHIEF & RELATED OF",273,"TAMPERING 1,CRIMINAL","COMPLETED","FELONY","N.Y. TRANSIT POLICE","MANHATTAN",25,"","TRANSIT - NYC SUBWAY","","","1,000,414","230,243",40.7986333,-73.941620371,"(40.7986333, -73.941620371)"
"349584",431864894,"03/16/2015","08:15:00","04/17/2015","11:43:00","04/20/2015","109","GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",18,"INSIDE","COMMERCIAL BUILDING","","","988,648","215,208",40.757379872,-73.984126607,"(40.757379872, -73.984126607)"
"357997",573935569,"03/16/2015","14:10:00","","","04/14/2015","106","FELONY ASSAULT",106,"ASSAULT 2,1,PEACE OFFICER","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",20,"INSIDE","CHAIN STORE","","","989,155","221,677",40.775135338,-73.982291841,"(40.775135338, -73.982291841)"
"364163",773670752,"03/16/2015","12:00:00","04/09/2015","12:00:00","04/09/2015","351","CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",10,"","STREET","","","983,748","211,001",40.745833797,-74.001813133,"(40.745833797, -74.001813133)"
"364164",989798731,"03/16/2015","12:00:00","04/09/2015","12:00:00","04/09/2015","351","CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",10,"","OTHER","","","982,717","210,997",40.7458227,-74.005533943,"(40.7458227, -74.005533943)"
"364165",441206483,"03/16/2015","12:00:00","04/09/2015","12:00:00","04/09/2015","351","CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",10,"","OTHER","","","984,791","209,846",40.742663608,-73.998049108,"(40.742663608, -73.998049108)"
"364166",649660199,"03/16/2015","00:30:00","","","04/09/2015","341","PETIT LARCENY",343,"LARCENY,PETIT OF BICYCLE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",13,"FRONT OF","","","","988,674","209,054",40.740488676,-73.984036806,"(40.740488676, -73.984036806)"
"373028",201710350,"03/16/2015","14:45:00","03/20/2015","15:05:00","04/02/2015","105","ROBBERY",397,"ROBBERY,OPEN AREA UNCLASSIFIED","ATTEMPTED","FELONY","N.Y. POLICE DEPT","MANHATTAN",30,"","STREET","","","997,606","237,873",40.819580227,-73.951747115,"(40.819580227, -73.951747115)"
"373030",172605693,"03/16/2015","10:00:00","03/19/2015","16:00:00","04/02/2015","109","GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",14,"INSIDE","COMMERCIAL BUILDING","","","988,590","213,119",40.751646125,-73.98433731,"(40.751646125, -73.98433731)"
"375665",174940761,"03/16/2015","12:00:00","","","03/31/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",6,"INSIDE","OTHER","","","985,572","207,670",40.736690946,-73.995231092,"(40.736690946, -73.995231092)"
"378096",546303967,"03/16/2015","19:00:00","03/17/2015","10:00:00","03/29/2015","341","PETIT LARCENY",339,"LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",34,"INSIDE","RESIDENCE - APT. HOUSE","","","1,005,000","255,567",40.868130791,-73.924978348,"(40.868130791, -73.924978348)"
"380478",986943054,"03/16/2015","14:00:00","03/17/2015","14:00:00","03/27/2015","109","GRAND LARCENY",412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED","ATTEMPTED","FELONY","N.Y. POLICE DEPT","MANHATTAN",10,"INSIDE","RESIDENCE - APT. HOUSE","","","984,347","211,153",40.746251013,-73.999651379,"(40.746251013, -73.999651379)"
"381724",401282856,"03/16/2015","15:00:00","03/16/2015","15:00:00","03/26/2015","109","GRAND LARCENY",428,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","RESIDENCE - APT. HOUSE","","","997,694","223,558",40.780289327,-73.951457835,"(40.780289327, -73.951457835)"
"381725",442989683,"03/16/2015","14:15:00","","","03/26/2015","578","HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. HOUSING POLICE","MANHATTAN",24,"INSIDE","RESIDENCE - PUBLIC HOUSING","","DOUGLASS","994,199","229,871",40.797621444,-73.964068235,"(40.797621444, -73.964068235)"
"383043",994965055,"03/16/2015","11:00:00","03/24/2015","12:30:00","03/25/2015","109","GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","COMMERCIAL BUILDING","","","991,947","217,600",40.763943043,-73.972215933,"(40.763943043, -73.972215933)"
"383044",529887223,"03/16/2015","10:30:00","03/25/2015","10:35:00","03/25/2015","361","OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",14,"INSIDE","COMMERCIAL BUILDING","","","989,361","214,512",40.755469146,-73.98155352,"(40.755469146, -73.98155352)"
"383045",437058612,"03/16/2015","10:30:00","03/16/2015","10:35:00","03/25/2015","578","HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN",13,"INSIDE","HOSPITAL","","","990,516","207,569",40.736411605,-73.977391066,"(40.736411605, -73.977391066)"
"384299",508456990,"03/16/2015","12:00:00","03/16/2015","15:30:00","03/24/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",10,"INSIDE","RESIDENCE - APT. HOUSE","","","985,717","215,911",40.759310399,-73.994706072,"(40.759310399, -73.994706072)"
"384301",778264290,"03/16/2015","10:20:00","03/16/2015","10:40:00","03/24/2015","344","ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",14,"FRONT OF","STREET","","","987,608","215,185",40.757317199,-73.98788056,"(40.757317199, -73.98788056)"
"385457",408319145,"03/16/2015","10:00:00","03/16/2015","11:00:00","03/23/2015","340","FRAUDS",718,"FRAUD,UNCLASSIFIED-MISDEMEANOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",20,"INSIDE","RESIDENCE - APT. HOUSE","","","989,549","222,205",40.776584332,-73.980868879,"(40.776584332, -73.980868879)"
"385459",972158815,"03/16/2015","09:00:00","","","03/23/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","MANHATTAN",32,"INSIDE","RESIDENCE - PUBLIC HOUSING","","","1,000,515","237,599",40.818823297,-73.941237759,"(40.818823297, -73.941237759)"
"386683",743270860,"03/16/2015","15:00:00","03/16/2015","15:15:00","03/22/2015","578","HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN",9,"","PARK/PLAYGROUND","","","986,674","202,948",40.723729975,-73.991256293,"(40.723729975, -73.991256293)"
"387824",346946993,"03/16/2015","22:00:00","03/17/2015","07:00:00","03/21/2015","109","GRAND LARCENY",421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"FRONT OF","STREET","","","998,586","223,661",40.780570632,-73.948236782,"(40.780570632, -73.948236782)"
"387830",865109139,"03/16/2015","15:00:00","03/16/2015","23:00:00","03/21/2015","578","HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN",9,"INSIDE","RESIDENCE - APT. HOUSE","","","990,378","204,681",40.72848485,-73.977891659,"(40.72848485, -73.977891659)"
"387832",196671838,"03/16/2015","08:00:00","03/16/2015","12:05:00","03/21/2015","112","THEFT-FRAUD",739,"FRAUD,UNCLASSIFIED-FELONY","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",13,"FRONT OF","DEPARTMENT STORE","","","989,174","209,956",40.742964178,-73.982231823,"(40.742964178, -73.982231823)"
"388894",180832756,"03/16/2015","18:30:00","","","03/20/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",25,"INSIDE","RESIDENCE - APT. HOUSE","","","1,002,042","230,655",40.799761,-73.935739278,"(40.799761, -73.935739278)"
"388895",387689791,"03/16/2015","17:40:00","","","03/20/2015","351","CRIMINAL MISCHIEF & RELATED OF",256,"MISCHIEF, CRIMINAL 4, BY FIRE","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","MANHATTAN",9,"FRONT OF","RESIDENCE - PUBLIC HOUSING","","WALD","990,803","201,274",40.719133154,-73.976361578,"(40.719133154, -73.976361578)"
"388907",455644924,"03/16/2015","02:00:00","03/20/2015","18:43:00","03/20/2015","578","HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN",34,"INSIDE","RESIDENCE - APT. HOUSE","","","1,002,273","248,556",40.848893689,-73.934856858,"(40.848893689, -73.934856858)"
"388908",143867953,"03/16/2015","01:00:00","03/18/2015","01:00:00","03/20/2015","351","CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",25,"INSIDE","RESIDENCE - APT. HOUSE","","","999,686","231,567",40.80226862,-73.944246716,"(40.80226862, -73.944246716)"
"390151",670761103,"03/16/2015","23:40:00","","","03/19/2015","109","GRAND LARCENY",407,"LARCENY,GRAND BY DISHONEST EMP","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",14,"INSIDE","RESTAURANT/DINER","","","988,993","210,643",40.74484992,-73.982884528,"(40.74484992, -73.982884528)"
"390154",511157948,"03/16/2015","21:00:00","","","03/19/2015","341","PETIT LARCENY",303,"LARCENY,PETIT BY CHECK USE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",32,"INSIDE","ATM","","","1,001,070","238,491",40.821270547,-73.939230368,"(40.821270547, -73.939230368)"
"390161",337458900,"03/16/2015","16:30:00","03/16/2015","17:00:00","03/19/2015","578","HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN",10,"FRONT OF","CHAIN STORE","","","985,399","216,087",40.759793521,-73.995853915,"(40.759793521, -73.995853915)"
"390168",479393955,"03/16/2015","14:50:00","03/16/2015","15:10:00","03/19/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",10,"INSIDE","PUBLIC SCHOOL","","","983,662","209,917",40.742858483,-74.002123407,"(40.742858483, -74.002123407)"
"390176",311260155,"03/16/2015","03:00:00","03/16/2015","03:10:00","03/19/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",10,"INSIDE","BAR/NIGHT CLUB","","","983,423","209,491",40.7416892,-74.002985851,"(40.7416892, -74.002985851)"
"390181",756650224,"03/16/2015","01:00:00","03/16/2015","02:00:00","03/19/2015","121","CRIMINAL MISCHIEF & RELATED OF",269,"MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",6,"INSIDE","RESIDENCE - APT. HOUSE","","","986,238","205,515",40.730775875,-73.992828509,"(40.730775875, -73.992828509)"
"391531",549413213,"03/16/2015","20:06:00","","","03/18/2015","361","OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",25,"INSIDE","RESIDENCE - APT. HOUSE","","","1,001,949","231,211",40.801287255,-73.936073714,"(40.801287255, -73.936073714)"
"391532",288698948,"03/16/2015","20:00:00","","","03/18/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","HOSPITAL","","","996,700","217,647",40.764066631,-73.955057921,"(40.764066631, -73.955057921)"
"391539",880230850,"03/16/2015","17:00:00","03/16/2015","19:00:00","03/18/2015","109","GRAND LARCENY",439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",23,"OPPOSITE OF","PARK/PLAYGROUND","CHERRY TREE PARK","","998,735","226,166",40.787445948,-73.947693369,"(40.787445948, -73.947693369)"
"391551",655013562,"03/16/2015","14:00:00","03/16/2015","15:30:00","03/18/2015","109","GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",13,"INSIDE","COMMERCIAL BUILDING","","","986,077","208,581",40.739191325,-73.993408584,"(40.739191325, -73.993408584)"
"391566",119279223,"03/16/2015","07:45:00","03/16/2015","07:50:00","03/18/2015","578","HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN",10,"","STREET","","","982,244","210,143",40.743478588,-74.007240714,"(40.743478588, -74.007240714)"
"392707",627272502,"03/16/2015","23:45:00","03/17/2015","00:01:00","03/17/2015","107","BURGLARY",213,"BURGLARY,COMMERCIAL,NIGHT","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",10,"INSIDE","HOTEL/MOTEL","","","985,005","216,305",40.760391917,-73.997276108,"(40.760391917, -73.997276108)"
"392710",898317845,"03/16/2015","23:40:00","","","03/17/2015","344","ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",32,"REAR OF","STREET","","","1,001,157","238,763",40.822016943,-73.93891535,"(40.822016943, -73.93891535)"
"392716",405771397,"03/16/2015","23:30:00","","","03/17/2015","352","CRIMINAL TRESPASS",205,"TRESPASS 2, CRIMINAL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",13,"INSIDE","GYM/FITNESS FACILITY","","","987,584","210,248",40.743766387,-73.987969637,"(40.743766387, -73.987969637)"
"392717",655239710,"03/16/2015","23:15:00","03/16/2015","23:25:00","03/17/2015","578","HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. HOUSING POLICE","MANHATTAN",26,"INSIDE","RESIDENCE - PUBLIC HOUSING","","GRANT","995,653","236,117",40.814763236,-73.958806155,"(40.814763236, -73.958806155)"
"392722",584005933,"03/16/2015","23:00:00","03/17/2015","01:00:00","03/17/2015","109","GRAND LARCENY",421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",18,"FRONT OF","STREET","","","985,203","218,008",40.765066196,-73.996561142,"(40.765066196, -73.996561142)"
"392737",654410265,"03/16/2015","22:30:00","03/17/2015","10:00:00","03/17/2015","351","CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",18,"FRONT OF","STREET","","","986,636","219,002",40.767794199,-73.991387694,"(40.767794199, -73.991387694)"
"392738",752042261,"03/16/2015","22:30:00","03/16/2015","23:00:00","03/17/2015","109","GRAND LARCENY",411,"LARCENY,GRAND FROM EATERY, UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","FAST FOOD","","","996,478","223,634",40.780499692,-73.95584843,"(40.780499692, -73.95584843)"
"392745",282930650,"03/16/2015","22:17:00","03/17/2015","00:05:00","03/17/2015","107","BURGLARY",213,"BURGLARY,COMMERCIAL,NIGHT","ATTEMPTED","FELONY","N.Y. POLICE DEPT","MANHATTAN",13,"INSIDE","DOCTOR/DENTIST OFFICE","","","990,760","209,523",40.741774675,-73.97650872,"(40.741774675, -73.97650872)"
"392755",642983748,"03/16/2015","22:00:00","","","03/17/2015","341","PETIT LARCENY",321,"LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",33,"","STREET","","","1,001,475","243,456",40.834897272,-73.937754347,"(40.834897272, -73.937754347)"
"392760",638025950,"03/16/2015","21:30:00","03/16/2015","22:00:00","03/17/2015","121","CRIMINAL MISCHIEF & RELATED OF",269,"MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",18,"INSIDE","HOSPITAL","","","987,618","219,846",40.77011044,-73.987842129,"(40.77011044, -73.987842129)"
"392763",386793976,"03/16/2015","21:00:00","","","03/17/2015","578","HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN",28,"INSIDE","RESIDENCE-HOUSE","","","997,486","232,024",40.803526529,-73.952192199,"(40.803526529, -73.952192199)"
"392769",248101535,"03/16/2015","21:00:00","03/16/2015","21:15:00","03/17/2015","344","ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",5,"FRONT OF","DRY CLEANER/LAUNDRY","","","985,455","198,747",40.712199486,-73.995654876,"(40.712199486, -73.995654876)"
"392793",192761589,"03/16/2015","19:50:00","03/16/2015","20:10:00","03/17/2015","341","PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",18,"INSIDE","FOOD SUPERMARKET","","","989,136","219,061",40.76795511,-73.982362342,"(40.76795511, -73.982362342)"
"392794",949614342,"03/16/2015","19:38:00","03/17/2015","18:30:00","03/17/2015","109","GRAND LARCENY",418,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",5,"INSIDE","RESIDENCE - APT. HOUSE","","","985,794","202,326",40.722022932,-73.994431245,"(40.722022932, -73.994431245)"
"392795",712747693,"03/16/2015","19:30:00","03/17/2015","09:15:00","03/17/2015","351","CRIMINAL MISCHIEF & RELATED OF",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",23,"FRONT OF","STREET","","","1,000,908","227,849",40.792061502,-73.939842082,"(40.792061502, -73.939842082)"
"392798",243256781,"03/16/2015","19:30:00","03/16/2015","22:30:00","03/17/2015","341","PETIT LARCENY",343,"LARCENY,PETIT OF BICYCLE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",9,"FRONT OF","STREET","","","986,370","204,318",40.727490371,-73.992352614,"(40.727490371, -73.992352614)"
"392801",580296636,"03/16/2015","19:09:00","03/16/2015","20:06:00","03/17/2015","109","GRAND LARCENY",406,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",19,"INSIDE","RESIDENCE - APT. HOUSE","","","998,061","221,203",40.773824905,-73.950137512,"(40.773824905, -73.950137512)"
"392816",482348984,"03/16/2015","18:00:00","03/17/2015","03:21:00","03/17/2015","361","OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",13,"INSIDE","RESIDENCE - APT. HOUSE","","","988,281","208,343",40.738537345,-73.985455428,"(40.738537345, -73.985455428)"
"392822",578566648,"03/16/2015","18:00:00","03/16/2015","21:00:00","03/17/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",5,"FRONT OF","CHAIN STORE","","","984,929","202,496",40.72248965,-73.99755184,"(40.72248965, -73.99755184)"
"392831",639690896,"03/16/2015","17:00:00","03/16/2015","21:00:00","03/17/2015","109","GRAND LARCENY",433,"LARCENY,GRAND FROM STORE-SHOPL","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",1,"INSIDE","CLOTHING/BOUTIQUE","","","984,469","202,766",40.723230758,-73.999211359,"(40.723230758, -73.999211359)"
"392832",893991746,"03/16/2015","17:00:00","03/16/2015","17:05:00","03/17/2015","351","CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","MANHATTAN",32,"INSIDE","RESIDENCE - PUBLIC HOUSING","","","1,000,767","238,054",40.820071677,-73.94032619,"(40.820071677, -73.94032619)"
"392858",583719939,"03/16/2015","15:00:00","03/17/2015","07:00:00","03/17/2015","341","PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",1,"INSIDE","CONSTRUCTION SITE","","","979,719","199,864",40.715264307,-74.016346027,"(40.715264307, -74.016346027)"
"392859",724252637,"03/16/2015","15:00:00","03/16/2015","15:16:00","03/17/2015","344","ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",14,"","STREET","","","988,913","214,759",40.756147345,-73.983170385,"(40.756147345, -73.983170385)"
"392865",754349685,"03/16/2015","14:30:00","03/16/2015","14:40:00","03/17/2015","578","HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN",7,"","STREET","","","987,867","201,950",40.720990299,-73.986952799,"(40.720990299, -73.986952799)"
"392866",565431138,"03/16/2015","14:00:00","03/17/2015","11:00:00","03/17/2015","351","CRIMINAL MISCHIEF & RELATED OF",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN",24,"FRONT OF","STREET","","","993,635","227,921",40.792269838,-73.966107982,"(40.792269838, -73.966107982)"
